review_id,original_view,destination,treatment,status,evidence
WCI01,Dashboard,weekly-checkin-portal/weekly-checkin-portal.html?tab=overview,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PI07,Raw Data,data/index.html?tab=source,Fundir,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PI08,Pipeline Velocity,funnel-management/pipeline-intelligence.html?tab=conversion,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PI09,Funnel Conversion,funnel-management/pipeline-intelligence.html?tab=conversion,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
NN01,Net New Overview,net-new-tracker/net-new-tracker.html?tab=overview,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
NN02,Net New Details,net-new-tracker/net-new-tracker.html?tab=classification,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
NN03,Classification Rules,net-new-tracker/net-new-tracker.html?tab=classification,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
NN04,Unit Economics,net-new-tracker/net-new-tracker.html?tab=investment,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
NN05,Market Position,net-new-tracker/net-new-tracker.html?tab=segments,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
NN06,Retention Economics,net-new-tracker/net-new-tracker.html?tab=retention,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PP01,The Pulse,pipeline-pulse/pipeline-pulse.html?tab=overview,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PP02,History,pipeline-pulse/pipeline-pulse.html?tab=trend,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PP03,CQ Funnel,pipeline-pulse/pipeline-pulse.html?tab=coverage,Fundir,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PP04,NQ Funnel,pipeline-pulse/pipeline-pulse.html?tab=coverage,Fundir,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PP05,Rolling Pipeline,pipeline-pulse/pipeline-pulse.html?tab=coverage,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PP06,3x Sufficiency,pipeline-pulse/pipeline-pulse.html?tab=coverage,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PP07,Activity,sales-league/sales-league.html?tab=activity,Realocar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PP08,WoW Changes,pipeline-pulse/pipeline-pulse.html?tab=movements,Fundir,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PP09,Hygiene,data/index.html?tab=quality,Realocar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PP10,Analysis,funnel-management/pipeline-intelligence.html?tab=explorer,Realocar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PP11,Raw Data,data/index.html?tab=source,Fundir,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PP12,Forecast Accuracy,pipeline-pulse/pipeline-pulse.html?tab=accuracy,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
SL01,Leaderboard,sales-league/sales-league.html?tab=overview,Renomear,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
SL02,Seller Scorecard,sales-league/sales-league.html?tab=seller,Fundir,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
SL03,Manager View,sales-league/sales-league.html?tab=coaching,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
SL04,Regional View,sales-league/sales-league.html?tab=overview,Fundir,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
SL05,Seller Details,sales-league/sales-league.html?tab=seller,Fundir,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
SL06,Charts,sales-league/sales-league.html?tab=overview,Realocar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
SL07,Declaration Form,weekly-checkin-portal/weekly-checkin-portal.html?tab=inputs,Fundir,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
SL08,Plan to Recover,sales-league/sales-league.html?tab=coaching,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
SL09,Book Lost,funnel-management/pipeline-intelligence.html?tab=conversion,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
SL10,Seller Info,data/index.html?tab=organization,Realocar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
SL11,Capacity Planning,sales-league/sales-league.html?tab=capacity,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
DATA01,Opportunities,data/index.html?tab=source,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
DATA02,Weekly closes,data/index.html?tab=source,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
DATA03,Seller performance,data/index.html?tab=source,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
DD01,Philosophy,portfolio-deep-dive.html?tab=cases,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
DD02,Architecture,portfolio-deep-dive.html?tab=architecture,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
DD03,Glossary,data/index.html?tab=contracts,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
DD04,Toolbox,portfolio-deep-dive.html?tab=sql,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
DD05,Pipeline Intelligence,portfolio-deep-dive.html?tab=sql,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
DD06,Net New Tracker,net-new-tracker/net-new-tracker.html?tab=classification,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
DD07,Pipeline Pulse,pipeline-pulse/pipeline-pulse.html?tab=accuracy,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
DD08,Sales League,sales-league/sales-league.html?tab=capacity,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
DD09,Weekly Check-In,weekly-checkin-portal/weekly-checkin-portal.html?tab=review,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
DD10,What’s Next,portfolio-deep-dive.html?tab=architecture,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
HOME01,Portfolio Index — página inteira,index.html?tab=cases,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
LEG01,Private-source functional reference,weekly-checkin-portal/weekly-checkin-portal.html?tab=inputs,Incorporar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
LEG02,Private-source functional reference,weekly-checkin-portal/weekly-checkin-portal.html?tab=inputs,Incorporar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
LEG03,Private-source functional reference,weekly-checkin-portal/weekly-checkin-portal.html?tab=inputs,Incorporar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
LEG04,Private-source functional reference,weekly-checkin-portal/weekly-checkin-portal.html?tab=brief,Incorporar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
LEG05,Private-source functional reference,pipeline-pulse/pipeline-pulse.html?tab=overview,Fundir,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
LEG06,Private-source functional reference,weekly-checkin-portal/weekly-checkin-portal.html?tab=review,Incorporar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
LEG07,Private-source functional reference,weekly-checkin-portal/weekly-checkin-portal.html?tab=review,Realocar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
LEG08,Private-source functional reference,weekly-checkin-portal/weekly-checkin-portal.html?tab=operating,Incorporar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
LEG09,Private-source functional reference,weekly-checkin-portal/weekly-checkin-portal.html?tab=overview,Incorporar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
LEG10,Private-source functional reference,weekly-checkin-portal/weekly-checkin-portal.html?tab=operating,Fundir,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
LEG11,Private-source functional reference,weekly-checkin-portal/weekly-checkin-portal.html?tab=operating,Incorporar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
LEG12,Private-source functional reference,weekly-checkin-portal/weekly-checkin-portal.html?tab=operating,Incorporar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
QUOTA01,Unresolved original quota shell,sales-league/sales-league.html?tab=capacity,Investigar,Independent replacement; original source unavailable,Shared metric tests and browser acceptance; see verification limits
